JP11/Sample B/JP11_BOC_Sample_B.out: 2.28248
JP11/Sample C/JP11_BOC_Sample_C.out: 1.89126
JP11/Sample D/JP11_BOC_Sample_D.out: 2.99348
JP11/Sample E/JP11_BOC_Sample_E.out: 1.11633
JP12/Sample A/JP12_EOC_Sample_A.out: 1.22946
JP12/Sample B/JP12_EOC_Sample_B.out: 1.24340
JP13/Sample A/JP13_EOC_Sample_A.out: 0.77472
JP13/Sample B/JP13_EOC_Sample_B.out: 1.51996
JP13/Sample C/JP13_EOC_Sample_C.out: 3.68781
JP13/Sample D/JP13_EOC_Sample_D.out: 5.54305
JP13/Sample E/JP13_EOC_Sample_E.out: 3.13790
JP15/Sample A/BOC/JP15_BOC_Sample_A.out: 0.53087
JP15/Sample B/BOC/JP15_BOC_Sample_B.out: 2.27202
JP15/Sample C/BOC/JP15_BOC_Sample_C.out: 1.64229
JP16/Sample A/JP16_BOC_Sample_A.out: 1.38326
JP16/Sample B/JP16_BOC_Sample_B.out: 2.65491
JP16/Sample C/JP16_BOC_Sample_C.out: 5.02476
JP16/Sample D/JP16_BOC_Sample_D.out: 5.17494
JP16/Sample E/JP16_BOC_Sample_E.out: 4.43920
JP16/Sample F/JP16_BOC_Sample_F.out: 3.96696
JP17/Sample A/JP17_Sample_A.out: 0.36907
JP17/Sample B/JP17_Sample_B.out: 1.97343
JP17/Sample C/JP17_Sample_C.out: 1.19150
JP17/Sample D/JP17_BOC_Sample_D.out: 3.15511
JP17/Sample E/JP17_Sample_E.out: 0.42634
JP18/Sample A/JP18_Sample_A.out: 3.05392
JP18/Sample B/JP18_Sample_B.out: 2.21618
JP18/Sample C/JP18_Sample_C.out: 2.43466
JP19/Sample A/JP19_Sample_A.out: 3.54389
JP19/Sample B/JP19_Sample_B.out: 4.42600
JP2/Sample A/JP2_Sample_A.out: 0.05562
JP2/Sample B/JP2_Sample_B.out: 1.01570
JP2/Sample C/JP2_Sample_C.out: 1.09491
JP2/Sample D/JP2_Sample_D.out: 1.73407
JP2/Sample E/JP2_Sample_E.out: 1.26654
JP2/Sample F/JP2_Sample_F.out: 0.49520
JP20/Sample A/JP20_BOC_Sample_A.out: 0.69871
JP20/Sample B/JP20_BOC_Sample_B.out: 0.39666
JP23/Sample A/JP23_EOC_Sample_A.out: 0.42570
JP23/Sample B/JP23_EOC_Sample_B.out: 0.45970
JP23/Sample C/JP23_EOC_Sample_C.out: 0.71285
JP23/Sample D/JP23_EOC_Sample_D.out: 0.61504
JP23/Sample E/JP23_EOC_Sample_E.out: 0.67283
JP3/Sample A/JP3_Sample_A.out: 0.71818
JP3/Sample B/JP3_Sample_B.out: 1.47944
JP3/Sample C/JP3_Sample_C.out: 1.09519
JP3/Sample D/JP3_Sample_D.out: 0.59228
JP3/Sample E/JP3_Sample_E.out: 1.33095
JP4/Sample A/JP4_Sample_A.out: 3.40630
JP4/Sample B/JP4_Sample_B.out: 1.24233
JP4/Sample C/JP4_Sample_C.out: 4.58772
JP5/Sample A/JP5_BOC_Sample_A.out: 8.39193
JP5/Sample B/JP5_BOC_Sample_B.out: 2.52133
JP5/Sample C/JP5_BOC_Sample_C.out: 0.04273
JP5/Sample D/JP5_BOC_Sample_D.out: 0.91723
JP5/Sample E/JP5_BOC_Sample_E.out: 1.24347
JP6/Sample A/JP6_Sample_A.out: 1.12660
JP6/Sample B/JP6_Sample_B.out: 1.52436
JP6/Sample C/JP6_Sample_C.out: 6.46353
JP6/Sample D/JP6_Sample_D.out: 6.38770
JP6/Sample E/JP6_Sample_E.out: 3.64609
JP6/Sample F/JP6_Sample_F.out: 0.97084
JP7/Sample A/JP7_Sample_A.out: 0.92320
JP7/Sample B/JP7_Sample_B.out: 5.40306
JP8/Sample A/JP8_BOC_Sample_A.out: 2.87892
JP8/Sample B/JP8_BOC_Sample_B.out: 2.80058
JP8/Sample C/JP8_BOC_Sample_C.out: 8.99287
JP9/Sample A/JP9_Sample_A.out: 0.36538
JP9/Sample B/JP9_Sample_B.out: 0.21848
RB1/Sample A/BOC/RB1_BOC_Sample_A.out: NaN
RB1/Sample A/EOC/RB1_EOC_Sample_A.out: Infinity
RB1/Sample B/BOC/RB1_BOC_Sample_B.out: Infinity
RB1/Sample B/EOC/RB1_EOC_Sample_B.out: Infinity
RB1/Sample C/BOC/RB1_BOC_Sample_C.out: 1.78461
RB1/Sample C/EOC/RB1_EOC_Sample_C.out: 2.23056
RB1/Sample D/BOC/RB1_BOC_Sample_D.out: 1.61600
RB1/Sample D/EOC/RB1_EOC_Sample_D.out: 2.95053
RB1/Sample E/BOC/RB1_BOC_Sample_E.out: 1.06670
RB1/Sample E/EOC/RB1_EOC_Sample_E.out: 3.35362
RB2/Sample A/EOC/RB2_EOC_Sample_A.out: 6.04302
RB2/Sample C/EOC/RB2_EOC_Sample_C.out: 5.78821
RB2/Sample D/EOC/RB2_EOC_Sample_D.out: 4.15625
RB3/Sample A/BOC/RB3_BOC_Sample_A.out: 0.49750
T1/Sample A/T1_Sample_A.out: 0.28160
T1/Sample B/T1_Sample_B.out: 0.97636
T2/Sample A/BOC/T2_BOC_Sample_A.out: 2.67359
T2/Sample A/EOC/T2_EOC_Sample_A.out: 1.12194
T2/Sample B/BOC/T2_BOC_Sample_B.out: 1.84888
T2/Sample B/EOC/T2_EOC_Sample_B.out: 0.16638
TRIST-ER-1-2/Sample A/BOC/Trist_1-2_BOC_Sample_A.out: 0.77989
TRIST-ER-1-2/Sample B/BOC/Trist_1-2_BOC_Sample_B.out: 0.78652
TRIST-ER-1-2/Sample C/BOC/Trist_1-2_BOC_Sample_C.out: 0.13942
TRIST-ER-1-2/Sample D/BOC/Trist_1-2_BOC_Sample_D.out: 1.00731
TRIST-ER-1-2/Sample E/BOC/Trist_1-2_BOC_Sample_E.out: 0.96733
TRIST-ER-7-8/Sample A/BOC/Trist_7-8_BOC_Sample_A.out: 0.97396
TRIST-ER-7-8/Sample B/BOC/Trist_7-8_BOC_Sample_B.out: 1.01304
TRIST-ER-7-8/Sample C/BOC/Trist_7-8_BOC_Sample_C.out: 0.93205
TRIST-ER-7-8/Sample D/BOC/Trist_7-8_BOC_Sample_D.out: 1.27648
TRIST-ER-7-8/Sample E/BOC/Trist_7-8_BOC_Sample_E.out: 2.12499
