,E (MeV),loc,Power,Avg. Flux
195,5.5e-11,PTP,100.0,1060602944.0
196,5.5e-11,RB,85.0,880471767.5
197,5.5e-11,RB,100.0,883075655.0
198,5.75e-11,FT5,85.0,4867481695.652174
199,5.75e-11,FT5,100.0,5828276458.333333
200,5.75e-11,PTP,85.0,2544965000.0
201,5.75e-11,PTP,100.0,3331098128.0
202,5.75e-11,RB,85.0,2758425042.5
203,5.75e-11,RB,100.0,2767313805.0
204,6e-11,FT5,85.0,6925442572.463768
205,6e-11,FT5,100.0,8299368958.333333
206,6e-11,PTP,85.0,3634533000.0
207,6e-11,PTP,100.0,4774568424.0
208,6e-11,RB,85.0,3932956575.0
209,6e-11,RB,100.0,3947777650.0
210,6.3e-11,FT5,85.0,7569774326.086957
211,6.3e-11,FT5,100.0,9082482291.666666
212,6.3e-11,PTP,85.0,3994783000.0
213,6.3e-11,PTP,100.0,5277195080.0
214,6.3e-11,RB,85.0,4312071800.0
215,6.3e-11,RB,100.0,4331819900.0
216,6.6e-11,FT5,85.0,8271933876.811594
217,6.6e-11,FT5,100.0,9935983750.0
218,6.6e-11,PTP,85.0,4388629000.0
219,6.6e-11,PTP,100.0,5830361320.0
220,6.6e-11,RB,85.0,4725492300.0
221,6.6e-11,RB,100.0,4750824350.0
222,6.9e-11,FT5,85.0,9005263840.57971
223,6.9e-11,FT5,100.0,10827396458.333334
224,6.9e-11,PTP,85.0,4801212000.0
225,6.9e-11,PTP,100.0,6413825120.0
226,6.9e-11,RB,85.0,5157484700.0
227,6.9e-11,RB,100.0,5188869550.0
228,7.2e-11,FT5,85.0,9836378260.869566
229,7.2e-11,FT5,100.0,11837580000.0
230,7.2e-11,PTP,85.0,5270196000.0
231,7.2e-11,PTP,100.0,7082002760.0
232,7.2e-11,RB,85.0,5647239100.0
233,7.2e-11,RB,100.0,5685730600.0
234,7.6e-11,FT5,85.0,10841031956.52174
235,7.6e-11,FT5,100.0,13058471041.666666
236,7.6e-11,PTP,85.0,5838709000.0
237,7.6e-11,PTP,100.0,7898154280.0
238,7.6e-11,RB,85.0,6239383700.0
239,7.6e-11,RB,100.0,6286762000.0
240,8e-11,FT5,85.0,11964989710.144928
241,8e-11,FT5,100.0,14423962708.333334
242,8e-11,PTP,85.0,6476432000.0
243,8e-11,PTP,100.0,8820815480.0
244,8e-11,RB,85.0,6901900250.0
245,8e-11,RB,100.0,6959561000.0
246,8.4e-11,FT5,85.0,13144930869.565218
247,8.4e-11,FT5,100.0,15856883541.666666
248,8.4e-11,PTP,85.0,7147588000.0
249,8.4e-11,PTP,100.0,9799869840.0
250,8.4e-11,RB,85.0,7597330000.0
251,8.4e-11,RB,100.0,7666147500.0
252,8.8e-11,FT5,85.0,14381023478.26087
253,8.8e-11,FT5,100.0,17357248541.666668
254,8.8e-11,PTP,85.0,7852214000.0
255,8.8e-11,PTP,100.0,10836008680.0
256,8.8e-11,RB,85.0,8325653750.0
257,8.8e-11,RB,100.0,8406495000.0
258,9.2e-11,FT5,85.0,15673437463.768116
259,9.2e-11,FT5,100.0,18925065208.333332
260,9.2e-11,PTP,85.0,8590335000.0
261,9.2e-11,PTP,100.0,11929906480.0
262,9.2e-11,RB,85.0,9086856500.0
263,9.2e-11,RB,100.0,9180594000.0
264,9.6e-11,FT5,85.0,17022251376.811594
265,9.6e-11,FT5,100.0,20560365416.666668
266,9.6e-11,PTP,85.0,9361967000.0
267,9.6e-11,PTP,100.0,13082220720.0
268,9.6e-11,RB,85.0,9880799500.0
269,9.6e-11,RB,100.0,9988442500.0
270,1e-10,FT5,85.0,18519248115.942028
271,1e-10,FT5,100.0,22374110416.666668
272,1e-10,PTP,85.0,10219723000.0
273,1e-10,PTP,100.0,14373514200.0
274,1e-10,RB,85.0,10761244250.0
275,1e-10,RB,100.0,10884855000.0
276,1.05e-10,FT5,85.0,20268416594.2029
277,1.05e-10,FT5,100.0,24491550000.0
278,1.05e-10,PTP,85.0,11223316000.0
279,1.05e-10,PTP,100.0,15896671440.0
280,1.05e-10,RB,85.0,11789182750.0
281,1.05e-10,RB,100.0,11931830500.0
282,1.1e-10,FT5,85.0,22194429927.536232
283,1.1e-10,FT5,100.0,26820843750.0
284,1.1e-10,PTP,85.0,12329668000.0
285,1.1e-10,PTP,100.0,17589681440.0
286,1.1e-10,RB,85.0,12920032750.0
287,1.1e-10,RB,100.0,13084034500.0
288,1.15e-10,FT5,85.0,24209941304.347828
289,1.15e-10,FT5,100.0,29255885416.666668
290,1.15e-10,PTP,85.0,13488618000.0
291,1.15e-10,PTP,100.0,19378489360.0
292,1.15e-10,RB,85.0,14102108500.0
293,1.15e-10,RB,100.0,14288964500.0
294,1.2e-10,FT5,85.0,26591397608.695652
295,1.2e-10,FT5,100.0,32129335416.666668
296,1.2e-10,PTP,85.0,14859175000.0
297,1.2e-10,PTP,100.0,21514700720.0
298,1.2e-10,RB,85.0,15496776500.0
299,1.2e-10,RB,100.0,15711254000.0
300,1.275e-10,FT5,85.0,29657405434.782608
301,1.275e-10,FT5,100.0,35823566666.666664
302,1.275e-10,PTP,85.0,16625010000.0
303,1.275e-10,PTP,100.0,24294951120.0
304,1.275e-10,RB,85.0,17289486750.0
305,1.275e-10,RB,100.0,17540337000.0
306,1.35e-10,FT5,85.0,33189232898.550724
307,1.35e-10,FT5,100.0,40072518750.0
308,1.35e-10,PTP,85.0,18660260000.0
309,1.35e-10,PTP,100.0,27533427360.0
310,1.35e-10,RB,85.0,19350889500.0
311,1.35e-10,RB,100.0,19644617000.0
312,1.425e-10,FT5,85.0,36926409492.753624
313,1.425e-10,FT5,100.0,44560545833.333336
314,1.425e-10,PTP,85.0,20814450000.0
315,1.425e-10,PTP,100.0,31000572000.0
316,1.425e-10,RB,85.0,21527549750.0
317,1.425e-10,RB,100.0,21867715000.0
318,1.5e-10,FT5,85.0,41217902173.91304
319,1.5e-10,FT5,100.0,49703722916.666664
320,1.5e-10,PTP,85.0,23288050000.0
321,1.5e-10,PTP,100.0,35031130800.0
322,1.5e-10,RB,85.0,24020941500.0
323,1.5e-10,RB,100.0,24415621500.0
324,1.6e-10,FT5,85.0,46472949275.36232
325,1.6e-10,FT5,100.0,55988058333.333336
326,1.6e-10,PTP,85.0,26316230000.0
327,1.6e-10,PTP,100.0,40027186400.0
328,1.6e-10,RB,85.0,27066252500.0
329,1.6e-10,RB,100.0,27529085000.0
330,1.7e-10,FT5,85.0,52426831884.05797
331,1.7e-10,FT5,100.0,63091858333.333336
332,1.7e-10,PTP,85.0,29745330000.0
333,1.7e-10,PTP,100.0,45756870400.0
334,1.7e-10,RB,85.0,30506987250.0
335,1.7e-10,RB,100.0,31048640000.0
336,1.8e-10,FT5,85.0,58755288405.797104
337,1.8e-10,FT5,100.0,70623729166.66667
338,1.8e-10,PTP,85.0,33387050000.0
339,1.8e-10,PTP,100.0,51923219600.0
340,1.8e-10,RB,85.0,34152980000.0
341,1.8e-10,RB,100.0,34780135000.0
342,1.9e-10,FT5,85.0,65460906521.73913
343,1.9e-10,FT5,100.0,78584531250.0
344,1.9e-10,PTP,85.0,37241670000.0
345,1.9e-10,PTP,100.0,58534412800.0
346,1.9e-10,RB,85.0,38004342500.0
347,1.9e-10,RB,100.0,38723790000.0
348,2e-10,FT5,85.0,72546290579.71014
349,2e-10,FT5,100.0,86975181250.0
350,2e-10,PTP,85.0,41309460000.0
351,2e-10,PTP,100.0,65598476400.0
352,2e-10,RB,85.0,42061220000.0
353,2e-10,RB,100.0,42879865000.0
354,2.1e-10,FT5,85.0,80013981159.42029
355,2.1e-10,FT5,100.0,95796529166.66667
356,2.1e-10,PTP,85.0,45590690000.0
357,2.1e-10,PTP,100.0,73123296000.0
358,2.1e-10,RB,85.0,46323752500.0
359,2.1e-10,RB,100.0,47248560000.0
360,2.2e-10,FT5,85.0,87866413043.47826
361,2.2e-10,FT5,100.0,105049468750.0
362,2.2e-10,PTP,85.0,50085590000.0
