Group,Flux,Uncert,Experiment,Sample,Loc,Power
epithermal,6.6891E+14,7.47,TRIST-ER-7-8,B,RB,85.0
fast,4.3234E+14,13.43,TRIST-ER-7-8,B,RB,85.0
fast_2,1.7277E+14,17.12,TRIST-ER-7-8,B,RB,85.0
thermal,7.0747E+14,6.55,TRIST-ER-7-8,B,RB,85.0
epithermal,5.9595E+14,7.6,TRIST-ER-7-8,B,RB,85.0
fast,3.681E+14,13.23,TRIST-ER-7-8,B,RB,85.0
fast_2,1.5521E+14,16.76,TRIST-ER-7-8,B,RB,85.0
thermal,8.5869E+14,7.32,TRIST-ER-7-8,C,RB,85.0
epithermal,7.9428E+14,7.5,TRIST-ER-7-8,C,RB,85.0
fast,5.0616E+14,13.39,TRIST-ER-7-8,C,RB,85.0
fast_2,2.0636E+14,17.1,TRIST-ER-7-8,C,RB,85.0
thermal,8.8978E+14,6.54,TRIST-ER-7-8,C,RB,85.0
epithermal,7.2502E+14,7.61,TRIST-ER-7-8,C,RB,85.0
fast,4.4936E+14,13.24,TRIST-ER-7-8,C,RB,85.0
fast_2,1.903E+14,16.82,TRIST-ER-7-8,C,RB,85.0
thermal,6.7907E+14,7.24,TRIST-ER-7-8,D,RB,85.0
epithermal,6.4727E+14,7.5,TRIST-ER-7-8,D,RB,85.0
fast,4.1453E+14,13.42,TRIST-ER-7-8,D,RB,85.0
fast_2,1.6672E+14,17.12,TRIST-ER-7-8,D,RB,85.0
thermal,7.0915E+14,6.54,TRIST-ER-7-8,D,RB,85.0
epithermal,5.7724E+14,7.62,TRIST-ER-7-8,D,RB,85.0
fast,3.5703E+14,13.21,TRIST-ER-7-8,D,RB,85.0
fast_2,1.5092E+14,16.72,TRIST-ER-7-8,D,RB,85.0
thermal,4.4125E+14,7.35,TRIST-ER-7-8,E,RB,85.0
epithermal,3.9501E+14,7.55,TRIST-ER-7-8,E,RB,85.0
fast,2.6432E+14,13.38,TRIST-ER-7-8,E,RB,85.0
fast_2,1.0821E+14,17.15,TRIST-ER-7-8,E,RB,85.0
thermal,4.687E+14,6.46,TRIST-ER-7-8,E,RB,85.0
epithermal,3.4945E+14,7.68,TRIST-ER-7-8,E,RB,85.0
fast,2.2567E+14,13.2,TRIST-ER-7-8,E,RB,85.0
fast_2,9.6983E+13,16.76,TRIST-ER-7-8,E,RB,85.0
